"index","page_name","d_year","d_month","City","Country","Users","Sessions","ors_type","ors_id","osm_id","osm_layer","city_name_ors","region_name_ors","country_name_ors","lon","lat","geometry_confidence","adr","distance_km","duration_min","from_lon_matrix","from_lat_matrix"
"572","Visit Kosice","2021","05","Milovice","Czechia","1","1","Point","101841017","101841017","locality","Milovice","Central Bohemian","Czechia","14.889926","50.228459","0.6","Milovice, Czechia","693.25","499","14.890276","50.228551"
"286","Visit Kosice","2021","01","Mlada Boleslav","Czechia","1","1","Point","101841001","101841001","locality","Mladá Boleslav","Central Bohemian","Czechia","14.91097","50.420438","0.6","Mlada Boleslav, Czechia","708.8","504","14.910958","50.420441"
"318","Visit Kosice","2021","04","Mlada Boleslav","Czechia","1","1","Point","101841001","101841001","locality","Mladá Boleslav","Central Bohemian","Czechia","14.91097","50.420438","0.6","Mlada Boleslav, Czechia","708.8","504","14.910958","50.420441"
"424","Visit Kosice","2021","06","Mlada Boleslav","Czechia","1","1","Point","101841001","101841001","locality","Mladá Boleslav","Central Bohemian","Czechia","14.91097","50.420438","0.6","Mlada Boleslav, Czechia","708.8","504","14.910958","50.420441"
"298","Visit Kosice","2021","08","Mlada Boleslav","Czechia","3","3","Point","101841001","101841001","locality","Mladá Boleslav","Central Bohemian","Czechia","14.91097","50.420438","0.6","Mlada Boleslav, Czechia","708.8","504","14.910958","50.420441"
"608","Visit Kosice","2021","06","Morkov","Czechia","1","1","Point","101826545","101826545","locality","Mořkov","Moravian-Silesian","Czechia","18.063229","49.533488","0.6","Morkov, Czechia","343.61","295","18.063106","49.533576"
"507","Visit Kosice","2021","11","Morkov","Czechia","1","1","Point","101826545","101826545","locality","Mořkov","Moravian-Silesian","Czechia","18.063229","49.533488","0.6","Morkov, Czechia","343.61","295","18.063106","49.533576"
"394","Visit Kosice","2021","12","Morkov","Czechia","1","1","Point","101826545","101826545","locality","Mořkov","Moravian-Silesian","Czechia","18.063229","49.533488","0.6","Morkov, Czechia","343.61","295","18.063106","49.533576"
"277","Visit Kosice","2021","01","Most","Czechia","1","1","Point","85906303","85906303","neighbourhood","Černý Most","Prague","Czechia","14.571514","50.105381","0.6","Most, Czechia","661.78","476","14.57146","50.105418"
"282","Visit Kosice","2021","03","Most","Czechia","1","1","Point","85906303","85906303","neighbourhood","Černý Most","Prague","Czechia","14.571514","50.105381","0.6","Most, Czechia","661.78","476","14.57146","50.105418"
"311","Visit Kosice","2021","04","Most","Czechia","1","1","Point","85906303","85906303","neighbourhood","Černý Most","Prague","Czechia","14.571514","50.105381","0.6","Most, Czechia","661.78","476","14.57146","50.105418"
"388","Visit Kosice","2021","05","Most","Czechia","1","1","Point","85906303","85906303","neighbourhood","Černý Most","Prague","Czechia","14.571514","50.105381","0.6","Most, Czechia","661.78","476","14.57146","50.105418"
"583","Visit Kosice","2021","08","Most","Czechia","1","1","Point","85906303","85906303","neighbourhood","Černý Most","Prague","Czechia","14.571514","50.105381","0.6","Most, Czechia","661.78","476","14.57146","50.105418"
"636","Visit Kosice","2021","07","Nachod","Czechia","1","1","Point","101841051","101841051","locality","Náchod","Hradec Králové","Czechia","16.163385","50.416473","0.6","Nachod, Czechia","577.05","462","16.163363","50.416462"
"537","Visit Kosice","2021","11","Napajedla","Czechia","1","1","Point","101779863","101779863","locality","Napajedla","Zlín","Czechia","17.510415","49.167897","0.6","Napajedla, Czechia","394.43","299","17.51043","49.167839"
"292","Visit Kosice","2021","03","Nejdek","Czechia","1","1","Point","101824091","101824091","locality","Nejdek","Karlovy Vary","Czechia","12.730903","50.322486","0.6","Nejdek, Czechia","806.29","570","12.730937","50.322488"
"925","Visit Kosice","2021","09","Nekamese","Czechia","1","1","n/a",NULL,NULL,NULL,"n/a","n/a","n/a","n/a","n/a",NULL,"Nekamese, Czechia",NULL,NULL,NULL,NULL
"821","Visit Kosice","2021","09","Neratovice","Czechia","1","1","Point","101841013","101841013","locality","Neratovice","Central Bohemian","Czechia","14.518745","50.259823","0.6","Neratovice, Czechia","684.15","497","14.51865","50.259902"
"833","Visit Kosice","2021","08","Nova Paka","Czechia","1","1","Point","101841045","101841045","locality","Nová Paka","Hradec Králové","Czechia","15.51523","50.490125","0.6","Nova Paka, Czechia","617.57","500","15.51511","50.490144"
"599","Visit Kosice","2021","05","Nove Straseci","Czechia","1","1","Point","101825719","101825719","locality","Nové Strašecí","Central Bohemian","Czechia","13.901031","50.155122","0.6","Nove Straseci, Czechia","707.43","484","13.900982","50.155201"
"292","Visit Kosice","2021","06","Nove Straseci","Czechia","2","3","Point","101825719","101825719","locality","Nové Strašecí","Central Bohemian","Czechia","13.901031","50.155122","0.6","Nove Straseci, Czechia","707.43","484","13.900982","50.155201"
"452","Visit Kosice","2021","07","Nove Straseci","Czechia","2","2","Point","101825719","101825719","locality","Nové Strašecí","Central Bohemian","Czechia","13.901031","50.155122","0.6","Nove Straseci, Czechia","707.43","484","13.900982","50.155201"
"414","Visit Kosice","2021","12","Nove Straseci","Czechia","1","1","Point","101825719","101825719","locality","Nové Strašecí","Central Bohemian","Czechia","13.901031","50.155122","0.6","Nove Straseci, Czechia","707.43","484","13.900982","50.155201"
"279","Visit Kosice","2021","01","Novy Bohumin","Czechia","1","1","Point","3069382","3069382","neighbourhood","Nový Bohumín","Moravian-Silesian","Czechia","18.35792","49.91254","0.6","Novy Bohumin, Czechia","403.53","293","18.357972","49.912668"
"192","Visit Kosice","2021","02","Novy Bohumin","Czechia","2","2","Point","3069382","3069382","neighbourhood","Nový Bohumín","Moravian-Silesian","Czechia","18.35792","49.91254","0.6","Novy Bohumin, Czechia","403.53","293","18.357972","49.912668"
"284","Visit Kosice","2021","03","Novy Bohumin","Czechia","1","2","Point","3069382","3069382","neighbourhood","Nový Bohumín","Moravian-Silesian","Czechia","18.35792","49.91254","0.6","Novy Bohumin, Czechia","403.53","293","18.357972","49.912668"
"176","Visit Kosice","2021","04","Novy Bohumin","Czechia","2","2","Point","3069382","3069382","neighbourhood","Nový Bohumín","Moravian-Silesian","Czechia","18.35792","49.91254","0.6","Novy Bohumin, Czechia","403.53","293","18.357972","49.912668"
"628","Visit Kosice","2021","07","Novy Bohumin","Czechia","1","3","Point","3069382","3069382","neighbourhood","Nový Bohumín","Moravian-Silesian","Czechia","18.35792","49.91254","0.6","Novy Bohumin, Czechia","403.53","293","18.357972","49.912668"
"321","Visit Kosice","2021","11","Novy Bohumin","Czechia","1","2","Point","3069382","3069382","neighbourhood","Nový Bohumín","Moravian-Silesian","Czechia","18.35792","49.91254","0.6","Novy Bohumin, Czechia","403.53","293","18.357972","49.912668"
