"page_name","page_id","id_var_native","name_var_native","year_native","month_native","origin_city","origin_region","origin_country","val","value_source","ors_type","ors_id","osm_id","osm_layer","city_name_ors","region_name_ors","country_name_ors","lon","lat","geometry_confidence","adr","distance_km","duration_min","from_lon_matrix","from_lat_matrix"
"Visit Kosice","140831155939489","page_impressions_by_country_unique","Page impressions by city_unique","2021","5","Brno",NULL,"Czechia","15","Facebook Graph API","Point","101748109","101748109","locality","Brno","South Moravian","Czechia","16.61041","49.198531","0.6","Brno, Czechia","458.3","356","16.610044","49.198152"
"Visit Kosice","140831155939489","page_content_activity_by_country_unique","Page content activity by city_unique","2021","5","Brno",NULL,"Czechia","15","Facebook Graph API","Point","101748109","101748109","locality","Brno","South Moravian","Czechia","16.61041","49.198531","0.6","Brno, Czechia","458.3","356","16.610044","49.198152"
"Visit Kosice","140831155939489","page_content_activity_by_country_unique","Page content activity by city_unique","2021","10","Brno",NULL,"Czechia","1","Facebook Graph API","Point","101748109","101748109","locality","Brno","South Moravian","Czechia","16.61041","49.198531","0.6","Brno, Czechia","458.3","356","16.610044","49.198152"
"Visit Kosice","140831155939489","page_impressions_by_country_unique","Page impressions by city_unique","2021","11","Brno",NULL,"Czechia","14","Facebook Graph API","Point","101748109","101748109","locality","Brno","South Moravian","Czechia","16.61041","49.198531","0.6","Brno, Czechia","458.3","356","16.610044","49.198152"
"Visit Kosice","140831155939489","page_impressions_by_country_unique","Page impressions by city_unique","2021","2","Ceska Lipa",NULL,"Czechia","11","Facebook Graph API","Point","101823001","101823001","locality","Česká Lípa","Liberec","Czechia","14.535934","50.682405","0.6","Ceska Lipa, Czechia","765.09","526","14.535804","50.682401"
"Visit Kosice","140831155939489","page_content_activity_by_country_unique","Page content activity by city_unique","2021","2","Ceska Lipa",NULL,"Czechia","1","Facebook Graph API","Point","101823001","101823001","locality","Česká Lípa","Liberec","Czechia","14.535934","50.682405","0.6","Ceska Lipa, Czechia","765.09","526","14.535804","50.682401"
"Visit Kosice","140831155939489","page_impressions_by_country_unique","Page impressions by city_unique","2021","2","Ceske Budejovice",NULL,"Czechia","26","Facebook Graph API","Point","101748103","101748103","locality","Budweis","South Bohemian","Czechia","14.477586","48.977235","0.6","Ceske Budejovice, Czechia","724.25","476","14.477844","48.977244"
"Visit Kosice","140831155939489","page_content_activity_by_country_unique","Page content activity by city_unique","2021","10","Ceske Budejovice",NULL,"Czechia","1","Facebook Graph API","Point","101748103","101748103","locality","Budweis","South Bohemian","Czechia","14.477586","48.977235","0.6","Ceske Budejovice, Czechia","724.25","476","14.477844","48.977244"
"Visit Kosice","140831155939489","page_content_activity_by_country_unique","Page content activity by city_unique","2021","2","Dubnany",NULL,"Czechia","1","Facebook Graph API","Point","101781055","101781055","locality","Dubňany","South Moravian","Czechia","17.097348","48.916086","0.6","Dubnany, Czechia","422.15","329","17.097205","48.916542"
"Visit Kosice","140831155939489","page_content_activity_by_country_unique","Page content activity by city_unique","2021","3","Dvur Kralove nad Labem",NULL,"Czechia","5","Facebook Graph API","Point","101824249","101824249","locality","Dvůr Králové nad Labem","Hradec Králové","Czechia","15.812795","50.434356","0.6","Dvur Kralove nad Labem, Czechia","605","483","15.81293","50.434296"
"Visit Kosice","140831155939489","page_content_activity_by_country_unique","Page content activity by city_unique","2021","4","Dvur Kralove nad Labem",NULL,"Czechia","6","Facebook Graph API","Point","101824249","101824249","locality","Dvůr Králové nad Labem","Hradec Králové","Czechia","15.812795","50.434356","0.6","Dvur Kralove nad Labem, Czechia","605","483","15.81293","50.434296"
"Visit Kosice","140831155939489","page_content_activity_by_country_unique","Page content activity by city_unique","2021","4","Frýdek-Místek",NULL,"Czechia","1","Facebook Graph API","Point","101748127","101748127","locality","Frýdek-Místek","Moravian-Silesian","Czechia","18.348434","49.678504","0.6","Frýdek-Místek, Czechia","324.39","260","18.348947","49.678683"
